,STNAME,Year,Population
472,California,POPESTIMATE2019,39512223
420,California,POPESTIMATE2018,39461588
368,California,POPESTIMATE2017,39358497
316,California,POPESTIMATE2016,39167117
264,California,POPESTIMATE2015,38918045
212,California,POPESTIMATE2014,38596972
160,California,POPESTIMATE2013,38260787
108,California,POPESTIMATE2012,37948800
56,California,POPESTIMATE2011,37638369
4,California,POPESTIMATE2010,37319502
512,Texas,POPESTIMATE2019,28995881
460,Texas,POPESTIMATE2018,28628666
408,Texas,POPESTIMATE2017,28295273
356,Texas,POPESTIMATE2016,27914410
304,Texas,POPESTIMATE2015,27470056
252,Texas,POPESTIMATE2014,26964333
200,Texas,POPESTIMATE2013,26480266
148,Texas,POPESTIMATE2012,26084481
96,Texas,POPESTIMATE2011,25645629
44,Texas,POPESTIMATE2010,25241971
478,Florida,POPESTIMATE2019,21477737
426,Florida,POPESTIMATE2018,21244317
374,Florida,POPESTIMATE2017,20963613
322,Florida,POPESTIMATE2016,20613477
270,Florida,POPESTIMATE2015,20209042
218,Florida,POPESTIMATE2014,19845911
293,New York,POPESTIMATE2015,19654666
241,New York,POPESTIMATE2014,19651049
345,New York,POPESTIMATE2016,19633428
189,New York,POPESTIMATE2013,19624447
397,New York,POPESTIMATE2017,19589572
137,New York,POPESTIMATE2012,19572932
166,Florida,POPESTIMATE2013,19545621
449,New York,POPESTIMATE2018,19530351
85,New York,POPESTIMATE2011,19499241
501,New York,POPESTIMATE2019,19453561
33,New York,POPESTIMATE2010,19399878
114,Florida,POPESTIMATE2012,19297822
62,Florida,POPESTIMATE2011,19053237
10,Florida,POPESTIMATE2010,18845537
170,Illinois,POPESTIMATE2013,12895129
222,Illinois,POPESTIMATE2014,12884493
118,Illinois,POPESTIMATE2012,12882510
66,Illinois,POPESTIMATE2011,12867454
274,Illinois,POPESTIMATE2015,12858913
14,Illinois,POPESTIMATE2010,12840503
326,Illinois,POPESTIMATE2016,12820527
507,Pennsylvania,POPESTIMATE2019,12801989
455,Pennsylvania,POPESTIMATE2018,12800922
247,Pennsylvania,POPESTIMATE2014,12788313
403,Pennsylvania,POPESTIMATE2017,12787641
299,Pennsylvania,POPESTIMATE2015,12784826
351,Pennsylvania,POPESTIMATE2016,12782275
378,Illinois,POPESTIMATE2017,12778828
195,Pennsylvania,POPESTIMATE2013,12776309
143,Pennsylvania,POPESTIMATE2012,12767118
91,Pennsylvania,POPESTIMATE2011,12745815
430,Illinois,POPESTIMATE2018,12723071
39,Pennsylvania,POPESTIMATE2010,12711160
482,Illinois,POPESTIMATE2019,12671821
504,Ohio,POPESTIMATE2019,11689100
452,Ohio,POPESTIMATE2018,11676341
400,Ohio,POPESTIMATE2017,11659650
348,Ohio,POPESTIMATE2016,11634370
296,Ohio,POPESTIMATE2015,11617527
244,Ohio,POPESTIMATE2014,11602700
192,Ohio,POPESTIMATE2013,11576684
140,Ohio,POPESTIMATE2012,11548923
88,Ohio,POPESTIMATE2011,11544663
36,Ohio,POPESTIMATE2010,11539336
479,Georgia,POPESTIMATE2019,10617423
427,Georgia,POPESTIMATE2018,10511131
502,North Carolina,POPESTIMATE2019,10488084
375,Georgia,POPESTIMATE2017,10410330
450,North Carolina,POPESTIMATE2018,10381615
323,Georgia,POPESTIMATE2016,10301890
398,North Carolina,POPESTIMATE2017,10268233
271,Georgia,POPESTIMATE2015,10178447
346,North Carolina,POPESTIMATE2016,10154788
219,Georgia,POPESTIMATE2014,10067278
294,North Carolina,POPESTIMATE2015,10031646
491,Michigan,POPESTIMATE2019,9986857
439,Michigan,POPESTIMATE2018,9984072
387,Michigan,POPESTIMATE2017,9973114
167,Georgia,POPESTIMATE2013,9972479
335,Michigan,POPESTIMATE2016,9950571
242,North Carolina,POPESTIMATE2014,9932887
283,Michigan,POPESTIMATE2015,9931715
231,Michigan,POPESTIMATE2014,9929848
179,Michigan,POPESTIMATE2013,9913065
115,Georgia,POPESTIMATE2012,9901430
127,Michigan,POPESTIMATE2012,9897145
75,Michigan,POPESTIMATE2011,9882412
23,Michigan,POPESTIMATE2010,9877510
190,North Carolina,POPESTIMATE2013,9843336
63,Georgia,POPESTIMATE2011,9802431
138,North Carolina,POPESTIMATE2012,9749476
11,Georgia,POPESTIMATE2010,9711881
86,North Carolina,POPESTIMATE2011,9657592
34,North Carolina,POPESTIMATE2010,9574323
447,New Jersey,POPESTIMATE2018,8886025
395,New Jersey,POPESTIMATE2017,8885525
499,New Jersey,POPESTIMATE2019,8882190
343,New Jersey,POPESTIMATE2016,8870827
291,New Jersey,POPESTIMATE2015,8867949
239,New Jersey,POPESTIMATE2014,8864525
187,New Jersey,POPESTIMATE2013,8856972
135,New Jersey,POPESTIMATE2012,8844942
83,New Jersey,POPESTIMATE2011,8828117
31,New Jersey,POPESTIMATE2010,8799446
515,Virginia,POPESTIMATE2019,8535519
463,Virginia,POPESTIMATE2018,8501286
411,Virginia,POPESTIMATE2017,8463587
359,Virginia,POPESTIMATE2016,8410106
307,Virginia,POPESTIMATE2015,8361808
255,Virginia,POPESTIMATE2014,8310993
203,Virginia,POPESTIMATE2013,8252427
151,Virginia,POPESTIMATE2012,8185080
99,Virginia,POPESTIMATE2011,8101155
47,Virginia,POPESTIMATE2010,8023699
516,Washington,POPESTIMATE2019,7614893
464,Washington,POPESTIMATE2018,7523869
412,Washington,POPESTIMATE2017,7423362
360,Washington,POPESTIMATE2016,7294771
470,Arizona,POPESTIMATE2019,7278717
308,Washington,POPESTIMATE2015,7163657
418,Arizona,POPESTIMATE2018,7158024
256,Washington,POPESTIMATE2014,7054655
366,Arizona,POPESTIMATE2017,7044008
204,Washington,POPESTIMATE2013,6963985
314,Arizona,POPESTIMATE2016,6941072
152,Washington,POPESTIMATE2012,6897058
490,Massachusetts,POPESTIMATE2019,6892503
438,Massachusetts,POPESTIMATE2018,6882635
386,Massachusetts,POPESTIMATE2017,6859789
262,Arizona,POPESTIMATE2015,6829676
511,Tennessee,POPESTIMATE2019,6829174
100,Washington,POPESTIMATE2011,6826627
334,Massachusetts,POPESTIMATE2016,6823608
282,Massachusetts,POPESTIMATE2015,6794228
459,Tennessee,POPESTIMATE2018,6771631
230,Massachusetts,POPESTIMATE2014,6762596
48,Washington,POPESTIMATE2010,6742830
483,Indiana,POPESTIMATE2019,6732219
210,Arizona,POPESTIMATE2014,6730413
178,Massachusetts,POPESTIMATE2013,6713315
407,Tennessee,POPESTIMATE2017,6708799
431,Indiana,POPESTIMATE2018,6695497
126,Massachusetts,POPESTIMATE2012,6663005
379,Indiana,POPESTIMATE2017,6658078
355,Tennessee,POPESTIMATE2016,6646010
327,Indiana,POPESTIMATE2016,6634304
158,Arizona,POPESTIMATE2013,6632764
74,Massachusetts,POPESTIMATE2011,6613583
275,Indiana,POPESTIMATE2015,6608422
223,Indiana,POPESTIMATE2014,6593644
303,Tennessee,POPESTIMATE2015,6591170
171,Indiana,POPESTIMATE2013,6568713
22,Massachusetts,POPESTIMATE2010,6566307
106,Arizona,POPESTIMATE2012,6554978
251,Tennessee,POPESTIMATE2014,6541223
119,Indiana,POPESTIMATE2012,6537703
67,Indiana,POPESTIMATE2011,6516528
199,Tennessee,POPESTIMATE2013,6494340
15,Indiana,POPESTIMATE2010,6490432
54,Arizona,POPESTIMATE2011,6472643
147,Tennessee,POPESTIMATE2012,6453898
2,Arizona,POPESTIMATE2010,6407172
95,Tennessee,POPESTIMATE2011,6399291
43,Tennessee,POPESTIMATE2010,6355311
494,Missouri,POPESTIMATE2019,6137428
442,Missouri,POPESTIMATE2018,6121623
390,Missouri,POPESTIMATE2017,6106670
338,Missouri,POPESTIMATE2016,6087135
286,Missouri,POPESTIMATE2015,6071732
234,Missouri,POPESTIMATE2014,6056202
489,Maryland,POPESTIMATE2019,6045680
182,Missouri,POPESTIMATE2013,6040715
437,Maryland,POPESTIMATE2018,6035802
130,Missouri,POPESTIMATE2012,6024367
385,Maryland,POPESTIMATE2017,6023868
78,Missouri,POPESTIMATE2011,6010275
333,Maryland,POPESTIMATE2016,6003323
26,Missouri,POPESTIMATE2010,5995974
281,Maryland,POPESTIMATE2015,5985562
229,Maryland,POPESTIMATE2014,5957283
177,Maryland,POPESTIMATE2013,5923188
125,Maryland,POPESTIMATE2012,5886992
73,Maryland,POPESTIMATE2011,5839419
518,Wisconsin,POPESTIMATE2019,5822434
466,Wisconsin,POPESTIMATE2018,5807406
414,Wisconsin,POPESTIMATE2017,5790186
21,Maryland,POPESTIMATE2010,5788645
362,Wisconsin,POPESTIMATE2016,5772628
310,Wisconsin,POPESTIMATE2015,5760940
473,Colorado,POPESTIMATE2019,5758736
258,Wisconsin,POPESTIMATE2014,5751525
206,Wisconsin,POPESTIMATE2013,5736754
154,Wisconsin,POPESTIMATE2012,5719960
102,Wisconsin,POPESTIMATE2011,5705288
421,Colorado,POPESTIMATE2018,5691287
50,Wisconsin,POPESTIMATE2010,5690475
492,Minnesota,POPESTIMATE2019,5639632
369,Colorado,POPESTIMATE2017,5611885
440,Minnesota,POPESTIMATE2018,5606249
388,Minnesota,POPESTIMATE2017,5566230
317,Colorado,POPESTIMATE2016,5539215
336,Minnesota,POPESTIMATE2016,5522744
284,Minnesota,POPESTIMATE2015,5482032
232,Minnesota,POPESTIMATE2014,5451079
265,Colorado,POPESTIMATE2015,5450623
180,Minnesota,POPESTIMATE2013,5413479
128,Minnesota,POPESTIMATE2012,5376643
213,Colorado,POPESTIMATE2014,5350101
76,Minnesota,POPESTIMATE2011,5346143
24,Minnesota,POPESTIMATE2010,5310828
161,Colorado,POPESTIMATE2013,5269035
109,Colorado,POPESTIMATE2012,5192647
509,South Carolina,POPESTIMATE2019,5148714
57,Colorado,POPESTIMATE2011,5121108
457,South Carolina,POPESTIMATE2018,5084156
5,Colorado,POPESTIMATE2010,5047349
405,South Carolina,POPESTIMATE2017,5021268
353,South Carolina,POPESTIMATE2016,4957968
468,Alabama,POPESTIMATE2019,4903185
301,South Carolina,POPESTIMATE2015,4891938
416,Alabama,POPESTIMATE2018,4887681
364,Alabama,POPESTIMATE2017,4874486
312,Alabama,POPESTIMATE2016,4863525
260,Alabama,POPESTIMATE2015,4852347
208,Alabama,POPESTIMATE2014,4841799
156,Alabama,POPESTIMATE2013,4830081
249,South Carolina,POPESTIMATE2014,4823617
104,Alabama,POPESTIMATE2012,4815588
52,Alabama,POPESTIMATE2011,4799069
0,Alabama,POPESTIMATE2010,4785437
197,South Carolina,POPESTIMATE2013,4764080
145,South Carolina,POPESTIMATE2012,4717354
331,Louisiana,POPESTIMATE2016,4678135
93,South Carolina,POPESTIMATE2011,4671994
383,Louisiana,POPESTIMATE2017,4670560
279,Louisiana,POPESTIMATE2015,4664628
435,Louisiana,POPESTIMATE2018,4659690
487,Louisiana,POPESTIMATE2019,4648794
227,Louisiana,POPESTIMATE2014,4644013
41,South Carolina,POPESTIMATE2010,4635649
175,Louisiana,POPESTIMATE2013,4624527
123,Louisiana,POPESTIMATE2012,4600972
71,Louisiana,POPESTIMATE2011,4575625
19,Louisiana,POPESTIMATE2010,4544532
486,Kentucky,POPESTIMATE2019,4467673
434,Kentucky,POPESTIMATE2018,4461153
382,Kentucky,POPESTIMATE2017,4452268
330,Kentucky,POPESTIMATE2016,4438182
278,Kentucky,POPESTIMATE2015,4425976
226,Kentucky,POPESTIMATE2014,4414349
174,Kentucky,POPESTIMATE2013,4404659
122,Kentucky,POPESTIMATE2012,4386346
70,Kentucky,POPESTIMATE2011,4369821
18,Kentucky,POPESTIMATE2010,4348181
506,Oregon,POPESTIMATE2019,4217737
454,Oregon,POPESTIMATE2018,4181886
402,Oregon,POPESTIMATE2017,4143625
350,Oregon,POPESTIMATE2016,4089976
298,Oregon,POPESTIMATE2015,4015792
246,Oregon,POPESTIMATE2014,3963244
505,Oklahoma,POPESTIMATE2019,3956971
453,Oklahoma,POPESTIMATE2018,3940235
401,Oklahoma,POPESTIMATE2017,3931316
349,Oklahoma,POPESTIMATE2016,3926331
194,Oregon,POPESTIMATE2013,3922468
297,Oklahoma,POPESTIMATE2015,3909500
142,Oregon,POPESTIMATE2012,3899001
245,Oklahoma,POPESTIMATE2014,3878187
90,Oregon,POPESTIMATE2011,3872036
193,Oklahoma,POPESTIMATE2013,3853214
38,Oregon,POPESTIMATE2010,3837491
141,Oklahoma,POPESTIMATE2012,3818814
89,Oklahoma,POPESTIMATE2011,3788379
37,Oklahoma,POPESTIMATE2010,3759944
162,Connecticut,POPESTIMATE2013,3594841
110,Connecticut,POPESTIMATE2012,3594547
214,Connecticut,POPESTIMATE2014,3594524
58,Connecticut,POPESTIMATE2011,3588283
266,Connecticut,POPESTIMATE2015,3587122
6,Connecticut,POPESTIMATE2010,3579114
318,Connecticut,POPESTIMATE2016,3578141
370,Connecticut,POPESTIMATE2017,3573297
422,Connecticut,POPESTIMATE2018,3571520
474,Connecticut,POPESTIMATE2019,3565287
513,Utah,POPESTIMATE2019,3205958
484,Iowa,POPESTIMATE2019,3155070
461,Utah,POPESTIMATE2018,3153550
432,Iowa,POPESTIMATE2018,3148618
380,Iowa,POPESTIMATE2017,3141550
328,Iowa,POPESTIMATE2016,3131371
276,Iowa,POPESTIMATE2015,3120960
224,Iowa,POPESTIMATE2014,3109350
409,Utah,POPESTIMATE2017,3101042
172,Iowa,POPESTIMATE2013,3092997
497,Nevada,POPESTIMATE2019,3080156
120,Iowa,POPESTIMATE2012,3076190
68,Iowa,POPESTIMATE2011,3066336
16,Iowa,POPESTIMATE2010,3050745
357,Utah,POPESTIMATE2016,3041868
445,Nevada,POPESTIMATE2018,3027341
471,Arkansas,POPESTIMATE2019,3017804
419,Arkansas,POPESTIMATE2018,3009733
367,Arkansas,POPESTIMATE2017,3001345
233,Mississippi,POPESTIMATE2014,2990468
315,Arkansas,POPESTIMATE2016,2989918
181,Mississippi,POPESTIMATE2013,2988711
389,Mississippi,POPESTIMATE2017,2988510
285,Mississippi,POPESTIMATE2015,2988471
337,Mississippi,POPESTIMATE2016,2987938
129,Mississippi,POPESTIMATE2012,2983816
305,Utah,POPESTIMATE2015,2981835
441,Mississippi,POPESTIMATE2018,2981020
77,Mississippi,POPESTIMATE2011,2978731
263,Arkansas,POPESTIMATE2015,2978048
493,Mississippi,POPESTIMATE2019,2976149
25,Mississippi,POPESTIMATE2010,2970548
393,Nevada,POPESTIMATE2017,2969905
211,Arkansas,POPESTIMATE2014,2967392
159,Arkansas,POPESTIMATE2013,2959400
107,Arkansas,POPESTIMATE2012,2952164
55,Arkansas,POPESTIMATE2011,2940667
253,Utah,POPESTIMATE2014,2936879
3,Arkansas,POPESTIMATE2010,2921964
341,Nevada,POPESTIMATE2016,2917563
485,Kansas,POPESTIMATE2019,2913314
433,Kansas,POPESTIMATE2018,2911359
329,Kansas,POPESTIMATE2016,2910844
277,Kansas,POPESTIMATE2015,2909011
381,Kansas,POPESTIMATE2017,2908718
225,Kansas,POPESTIMATE2014,2900475
201,Utah,POPESTIMATE2013,2897640
173,Kansas,POPESTIMATE2013,2893212
121,Kansas,POPESTIMATE2012,2885257
69,Kansas,POPESTIMATE2011,2869225
289,Nevada,POPESTIMATE2015,2866939
17,Kansas,POPESTIMATE2010,2858190
149,Utah,POPESTIMATE2012,2853375
237,Nevada,POPESTIMATE2014,2817628
97,Utah,POPESTIMATE2011,2814384
185,Nevada,POPESTIMATE2013,2775970
45,Utah,POPESTIMATE2010,2775332
133,Nevada,POPESTIMATE2012,2743996
81,Nevada,POPESTIMATE2011,2712730
29,Nevada,POPESTIMATE2010,2702405
500,New Mexico,POPESTIMATE2019,2096829
448,New Mexico,POPESTIMATE2018,2092741
188,New Mexico,POPESTIMATE2013,2092273
396,New Mexico,POPESTIMATE2017,2091784
344,New Mexico,POPESTIMATE2016,2091630
240,New Mexico,POPESTIMATE2014,2089568
292,New Mexico,POPESTIMATE2015,2089291
136,New Mexico,POPESTIMATE2012,2087309
84,New Mexico,POPESTIMATE2011,2080450
32,New Mexico,POPESTIMATE2010,2064552
496,Nebraska,POPESTIMATE2019,1934408
444,Nebraska,POPESTIMATE2018,1925614
392,Nebraska,POPESTIMATE2017,1915947
340,Nebraska,POPESTIMATE2016,1905616
288,Nebraska,POPESTIMATE2015,1891277
236,Nebraska,POPESTIMATE2014,1879321
184,Nebraska,POPESTIMATE2013,1865279
153,West Virginia,POPESTIMATE2012,1856872
101,West Virginia,POPESTIMATE2011,1856301
49,West Virginia,POPESTIMATE2010,1854239
205,West Virginia,POPESTIMATE2013,1853914
132,Nebraska,POPESTIMATE2012,1853303
257,West Virginia,POPESTIMATE2014,1849489
309,West Virginia,POPESTIMATE2015,1842050
80,Nebraska,POPESTIMATE2011,1840672
361,West Virginia,POPESTIMATE2016,1831023
28,Nebraska,POPESTIMATE2010,1829542
413,West Virginia,POPESTIMATE2017,1817004
465,West Virginia,POPESTIMATE2018,1804291
517,West Virginia,POPESTIMATE2019,1792147
481,Idaho,POPESTIMATE2019,1787065
429,Idaho,POPESTIMATE2018,1750536
377,Idaho,POPESTIMATE2017,1717715
325,Idaho,POPESTIMATE2016,1682380
273,Idaho,POPESTIMATE2015,1651059
221,Idaho,POPESTIMATE2014,1631112
169,Idaho,POPESTIMATE2013,1611206
117,Idaho,POPESTIMATE2012,1595324
65,Idaho,POPESTIMATE2011,1583910
13,Idaho,POPESTIMATE2010,1570746
324,Hawaii,POPESTIMATE2016,1427559
376,Hawaii,POPESTIMATE2017,1424393
272,Hawaii,POPESTIMATE2015,1422052
428,Hawaii,POPESTIMATE2018,1420593
480,Hawaii,POPESTIMATE2019,1415872
220,Hawaii,POPESTIMATE2014,1414538
168,Hawaii,POPESTIMATE2013,1408243
116,Hawaii,POPESTIMATE2012,1394804
64,Hawaii,POPESTIMATE2011,1379329
12,Hawaii,POPESTIMATE2010,1363963
498,New Hampshire,POPESTIMATE2019,1359711
446,New Hampshire,POPESTIMATE2018,1353465
394,New Hampshire,POPESTIMATE2017,1348787
488,Maine,POPESTIMATE2019,1344212
342,New Hampshire,POPESTIMATE2016,1342307
436,Maine,POPESTIMATE2018,1339057
290,New Hampshire,POPESTIMATE2015,1336350
384,Maine,POPESTIMATE2017,1334612
238,New Hampshire,POPESTIMATE2014,1333341
332,Maine,POPESTIMATE2016,1331317
228,Maine,POPESTIMATE2014,1330513
72,Maine,POPESTIMATE2011,1328284
280,Maine,POPESTIMATE2015,1328262
176,Maine,POPESTIMATE2013,1328009
124,Maine,POPESTIMATE2012,1327729
20,Maine,POPESTIMATE2010,1327629
186,New Hampshire,POPESTIMATE2013,1326622
134,New Hampshire,POPESTIMATE2012,1324232
82,New Hampshire,POPESTIMATE2011,1320202
30,New Hampshire,POPESTIMATE2010,1316762
495,Montana,POPESTIMATE2019,1068778
443,Montana,POPESTIMATE2018,1060665
508,Rhode Island,POPESTIMATE2019,1059361
456,Rhode Island,POPESTIMATE2018,1058287
352,Rhode Island,POPESTIMATE2016,1056770
300,Rhode Island,POPESTIMATE2015,1056065
248,Rhode Island,POPESTIMATE2014,1055936
404,Rhode Island,POPESTIMATE2017,1055673
196,Rhode Island,POPESTIMATE2013,1055081
144,Rhode Island,POPESTIMATE2012,1054621
40,Rhode Island,POPESTIMATE2010,1053959
92,Rhode Island,POPESTIMATE2011,1053649
391,Montana,POPESTIMATE2017,1052482
339,Montana,POPESTIMATE2016,1040859
287,Montana,POPESTIMATE2015,1030475
235,Montana,POPESTIMATE2014,1021869
183,Montana,POPESTIMATE2013,1013569
131,Montana,POPESTIMATE2012,1003783
79,Montana,POPESTIMATE2011,997316
27,Montana,POPESTIMATE2010,990697
475,Delaware,POPESTIMATE2019,973764
423,Delaware,POPESTIMATE2018,965479
371,Delaware,POPESTIMATE2017,956823
319,Delaware,POPESTIMATE2016,948921
267,Delaware,POPESTIMATE2015,941252
215,Delaware,POPESTIMATE2014,932487
163,Delaware,POPESTIMATE2013,923576
111,Delaware,POPESTIMATE2012,915179
59,Delaware,POPESTIMATE2011,907381
7,Delaware,POPESTIMATE2010,899593
510,South Dakota,POPESTIMATE2019,884659
458,South Dakota,POPESTIMATE2018,878698
406,South Dakota,POPESTIMATE2017,872868
354,South Dakota,POPESTIMATE2016,862996
302,South Dakota,POPESTIMATE2015,853988
250,South Dakota,POPESTIMATE2014,849129
198,South Dakota,POPESTIMATE2013,842316
146,South Dakota,POPESTIMATE2012,833566
94,South Dakota,POPESTIMATE2011,823579
42,South Dakota,POPESTIMATE2010,816166
503,North Dakota,POPESTIMATE2019,762062
451,North Dakota,POPESTIMATE2018,758080
399,North Dakota,POPESTIMATE2017,754942
347,North Dakota,POPESTIMATE2016,754434
295,North Dakota,POPESTIMATE2015,754066
313,Alaska,POPESTIMATE2016,741456
365,Alaska,POPESTIMATE2017,739700
261,Alaska,POPESTIMATE2015,737498
243,North Dakota,POPESTIMATE2014,737401
157,Alaska,POPESTIMATE2013,737068
209,Alaska,POPESTIMATE2014,736283
417,Alaska,POPESTIMATE2018,735139
469,Alaska,POPESTIMATE2019,731545
105,Alaska,POPESTIMATE2012,730443
53,Alaska,POPESTIMATE2011,722128
191,North Dakota,POPESTIMATE2013,722036
1,Alaska,POPESTIMATE2010,713910
477,District of Columbia,POPESTIMATE2019,705749
476,District of Columbia,POPESTIMATE2019,705749
424,District of Columbia,POPESTIMATE2018,701547
425,District of Columbia,POPESTIMATE2018,701547
139,North Dakota,POPESTIMATE2012,701176
373,District of Columbia,POPESTIMATE2017,694906
372,District of Columbia,POPESTIMATE2017,694906
321,District of Columbia,POPESTIMATE2016,685815
320,District of Columbia,POPESTIMATE2016,685815
87,North Dakota,POPESTIMATE2011,685225
268,District of Columbia,POPESTIMATE2015,675400
269,District of Columbia,POPESTIMATE2015,675400
35,North Dakota,POPESTIMATE2010,674715
216,District of Columbia,POPESTIMATE2014,662328
217,District of Columbia,POPESTIMATE2014,662328
164,District of Columbia,POPESTIMATE2013,650581
165,District of Columbia,POPESTIMATE2013,650581
112,District of Columbia,POPESTIMATE2012,634924
113,District of Columbia,POPESTIMATE2012,634924
98,Vermont,POPESTIMATE2011,627049
202,Vermont,POPESTIMATE2013,626210
150,Vermont,POPESTIMATE2012,626090
46,Vermont,POPESTIMATE2010,625879
306,Vermont,POPESTIMATE2015,625216
254,Vermont,POPESTIMATE2014,625214
462,Vermont,POPESTIMATE2018,624358
410,Vermont,POPESTIMATE2017,624344
514,Vermont,POPESTIMATE2019,623989
358,Vermont,POPESTIMATE2016,623657
61,District of Columbia,POPESTIMATE2011,619800
60,District of Columbia,POPESTIMATE2011,619800
9,District of Columbia,POPESTIMATE2010,605226
8,District of Columbia,POPESTIMATE2010,605226
311,Wyoming,POPESTIMATE2015,585613
363,Wyoming,POPESTIMATE2016,584215
259,Wyoming,POPESTIMATE2014,582531
207,Wyoming,POPESTIMATE2013,582122
415,Wyoming,POPESTIMATE2017,578931
519,Wyoming,POPESTIMATE2019,578759
467,Wyoming,POPESTIMATE2018,577601
155,Wyoming,POPESTIMATE2012,576305
103,Wyoming,POPESTIMATE2011,567299
51,Wyoming,POPESTIMATE2010,564487
